stop_name,stop_id
Albert 1er - Cathédrale,"[1948, 1949]"
Corum,"[1109, 1086]"
Garcia Lorca,"[2024, 1946, 2027, 1947]"
Gare Saint-Roch - République,"[1706, 1730]"
Georges Frêche - Hôtel de Ville,"[1725, 1711]"
La Rauze,"[1710, 1726]"
Les Aubes,"[1229, 1197]"
Louis Blanc - Agora de la Danse,"[1085, 1110]"
Nouveau Saint-Roch,"[1237, 1190]"
Observatoire,"[1705, 1731]"
Peyrou - Arc de Triomphe,"[1945, 1950]"
Place de l'Europe,"[1092, 1103]"
Pompignane,"[1196, 1230]"
Restanque,"[1728, 1708]"
Rives du Lez,"[1093, 1102]"
Rondelet,"[1236, 1191]"
Saint-Guilhem - Courreau,"[1952, 1951]"
Saint-Martin,"[1729, 1707]"
