stop_name,stop_id
Aiguelongue,"[1201, 1225]"
Aube Rouge,"[1217, 1210]"
Beaux-Arts,"[1227, 1199]"
Centurions,"[1220, 1206]"
Charles de Gaulle,"[1203, 1223]"
Clairval,"[1204, 1222]"
Comédie,"[1108, 1087]"
Corum,"[1228, 1198]"
Croix d'Argent,"[1241, 1186]"
Gare Saint-Roch,"[1088, 1107]"
Georges Pompidou,"[1212, 1215]"
Jacou,[1213]
Jeu de Mail des Abbés,"[1200, 1226]"
La Condamine,"[1182, 1246]"
La Galine,"[1221, 1205]"
Lemasson,"[1188, 1239]"
Mas Drevon,"[1240, 1187]"
Notre-Dame de Sablassou,"[1219, 1207]"
Nouveau Saint-Roch,"[1237, 1190]"
Rondelet,"[1236, 1191]"
Sabines,"[1184, 1243]"
Saint-Cléophas,"[1189, 1238]"
Saint-Jean de Védas Centre,[1180]
Saint-Jean le Sec,"[1181, 1247]"
Saint-Lazare,"[1224, 1202]"
Via Domitia,"[1216, 1211]"
Victoire 2,"[1245, 1183]"
Villeneuve d'Angoulême,"[1185, 1242]"
