stop_name,stop_id
Astruc,"[1701, 1735]"
Celleneuve,"[1741, 1695]"
Gare Saint-Roch - République,"[1706, 1730]"
Hôtel du Département,"[1697, 1739]"
Jules Guesde,"[1736, 1700]"
Juvignac,[1693]
Les Arceaux,"[1734, 1702]"
Mosson,"[1742, 1694]"
Moularès (Hôtel de Ville),"[1101, 1094]"
Observatoire,"[1705, 1731]"
Pergola,"[1738, 1698]"
Pilory,"[1696, 1740]"
Place Carnot,"[1193, 1234]"
Plan Cabanes,"[1733, 1703]"
Port Marianne,"[1100, 1095]"
Rives du Lez - Consuls de Mer,"[1232, 1195]"
Saint-Denis,"[1704, 1732]"
Tonnelles,"[1737, 1699]"
Voltaire,"[1233, 1194]"
