stop_id,stop_code,stop_name,tts_stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
2219,31100,Zone Artisanale,"zone artisanale",43.670094,3.976089,,,1
2220,31200,Zone Artisanale,"zone artisanale",43.670094,3.976089,,,1
2223,33118,St Jean de Védas Centre - Ortet,"Saint j'en de védasse CENTRE,  Orté",43.575687,3.829814,,,1
2224,16235,Léon Cazal,"léon cazal",43.605686,3.90339,,,1
2225,9152,Walhalla,"VOI LA LA",43.617996,3.916819,,,1
2226,27204,Espace Gare,"espace gare",43.674141,3.988963,,,1
2227,27101,Espace Gare,"espace gare",43.674076,3.988515,,,1
2228,29225,Paris,"PARIS",43.668346,4.04085,,,1
2229,29133,Paris,"PARIS",43.668205,4.040598,,,1
2230,21220,Jean-Marcel Castet,"j'en marcel castet",43.653332,3.961975,,,1
2231,34105,Jean Ferrat,"jean ferrat",43.588928,3.768732,,,1
2232,34205,Jean Ferrat,"jean ferrat",43.588905,3.768942,,,1
2233,13225,Vert-Bois,"VERT BOIS",43.634968,3.868187,,,1
2234,13228,Gascogne,"GASCOGNE",43.634411,3.859904,,,1
2235,13229,Eugène Bataillon,"Eugène, BATAILLON",43.631733,3.86034,,,1
2236,13230,Universités Sciences et Lettres,"UNIVERSITés des sciences,et lettre, sens!a",43.629898,3.86096,,,1
2238,13115,Universités Sciences et Lettres,"UNIVERSITés des sciences,et lettre",43.629166,3.861386,,,1
2239,13116,Eugène Bataillon,"Eugène, BATAILLON",43.631462,3.860977,,,1
2240,13117,Gascogne,"GASCOGNE",43.634308,3.860013,,,1
2241,13128,Universités Sciences et Lettres,"UNIVERSITés des sciences, et lettre, sens!b",43.629898,3.86096,,,1
2243,39112,Lucien Lambert,"lucien lambère",43.657013,3.912352,,,1
2244,39222,Lucien Lambert,"lucien lambère",43.656879,3.912311,,,1
2247,13118,Paul Parguel,"paul, parguel",43.636845,3.859969,,,1
2248,13119,École de Chimie,"école de chimie",43.634315,3.865286,,,1
2250,13125,Paul Parguel,"paul, parguel",43.636433,3.859946,,,1
2251,13218,Paul Parguel,"paul, parguel",43.636845,3.859969,,,1
2252,13227,Paul Parguel,"paul, parguel",43.636433,3.859946,,,1
2253,13226,École de Chimie,"école de chimie",43.634274,3.865,,,1
2254,22231,Campus Agropolis,"Campus Agropoliss",43.644676,3.868683,,,1
2257,53103,Étienne Méhul,"Etienne Mai  ul",43.578388,3.859883,,,1
2258,53203,Étienne Méhul,"Etienne Mai  ul",43.578892,3.859871,,,1
2259,44161,Mas Crespy,"Mass Crespi",43.529957,3.849302,,,1
2260,44261,Mas Crespy,"Mass Crespi",43.529903,3.849202,,,1
2261,9153,Odysseum,"oDYSSé homme",43.605053,3.919678,,,1
2262,9253,Odysseum,"oDYSSé homme",43.603619,3.918772,,,1
2263,53101,Sabines,"SABINES",43.583832,3.859954,,,1
2264,21130,Gare de Baillargues,"gare baillargues",43.653473,4.008139,,,1
