route_id,stop_id,stop_name
1,1122,Saint-Paul
1,1123,Halles de la Paillade
1,1765,Stade de la Mosson
1,1071,Mosson
1,1764,Stade de la Mosson
1,1072,Halles de la Paillade
1,1073,Saint-Paul
1,1074,Hauts de Massane
1,1075,Euromédecine
1,1076,Malbosc - Domaine d'Ô
1,1077,Château d'Ô
1,1078,Occitanie
1,1079,Hôpital Lapeyronie
1,1080,Universités Sciences et Lettres
1,1081,Saint-Éloi
1,1082,Boutonnet - Cité des Arts
1,1083,Stade Philippidès
1,1084,Place Albert 1er - Saint-Charles
1,1085,Louis Blanc - Agora de la Danse
1,1086,Corum
1,1087,Comédie
1,1088,Gare Saint-Roch
1,1752,Du Guesclin
1,1090,Antigone
1,1091,Léon Blum
1,1092,Place de l'Europe
1,1093,Rives du Lez
1,1094,Moularès (Hôtel de Ville)
1,1095,Port Marianne
1,1652,Mondial 98
1,1096,Millénaire
1,1540,Place de France
1,1097,Odysseum
1,2446,Gare Sud de France
1,2447,Gare Sud de France
1,1098,Odysseum
1,1541,Place de France
1,1099,Millénaire
1,1653,Mondial 98
1,1100,Port Marianne
1,1101,Moularès (Hôtel de Ville)
1,1102,Rives du Lez
1,1103,Place de l'Europe
1,1104,Léon Blum
1,1105,Antigone
1,1751,Du Guesclin
1,1107,Gare Saint-Roch
1,1108,Comédie
1,1109,Corum
1,1110,Louis Blanc - Agora de la Danse
1,1111,Place Albert 1er - Saint-Charles
1,1112,Stade Philippidès
1,1113,Boutonnet - Cité des Arts
1,1114,Saint-Éloi
1,1115,Universités Sciences et Lettres
1,1116,Hôpital Lapeyronie
1,1117,Occitanie
1,1118,Château d'Ô
1,1119,Malbosc - Domaine d'Ô
1,1120,Euromédecine
1,1121,Hauts de Massane
2,1184,Sabines
2,1185,Villeneuve d'Angoulême
2,1186,Croix d'Argent
2,1187,Mas Drevon
2,1188,Lemasson
2,1189,Saint-Cléophas
2,1190,Nouveau Saint-Roch
2,1191,Rondelet
2,1107,Gare Saint-Roch
2,1108,Comédie
2,1198,Corum
2,1199,Beaux-Arts
2,1200,Jeu de Mail des Abbés
2,1201,Aiguelongue
2,1202,Saint-Lazare
2,1203,Charles de Gaulle
2,1204,Clairval
2,1205,La Galine
2,1206,Centurions
2,1207,Notre-Dame de Sablassou
2,1219,Notre-Dame de Sablassou
2,1220,Centurions
2,1221,La Galine
2,1222,Clairval
2,1223,Charles de Gaulle
2,1224,Saint-Lazare
2,1225,Aiguelongue
2,1226,Jeu de Mail des Abbés
2,1227,Beaux-Arts
2,1228,Corum
2,1087,Comédie
2,1088,Gare Saint-Roch
2,1236,Rondelet
2,1237,Nouveau Saint-Roch
2,1238,Saint-Cléophas
2,1239,Lemasson
2,1240,Mas Drevon
2,1241,Croix d'Argent
2,1242,Villeneuve d'Angoulême
2,1243,Sabines
2,1245,Victoire 2
2,1246,La Condamine
2,1247,Saint-Jean le Sec
2,1180,Saint-Jean de Védas Centre
2,1210,Aube Rouge
2,1211,Via Domitia
2,1212,Georges Pompidou
2,1213,Jacou
2,1181,Saint-Jean le Sec
2,1182,La Condamine
2,1183,Victoire 2
2,1215,Georges Pompidou
2,1216,Via Domitia
2,1217,Aube Rouge
3,1694,Mosson
3,1695,Celleneuve
3,1696,Pilory
3,1697,Hôtel du Département
3,1698,Pergola
3,1699,Tonnelles
3,1700,Jules Guesde
3,1701,Astruc
3,1702,Les Arceaux
3,1703,Plan Cabanes
3,1704,Saint-Denis
3,1705,Observatoire
3,1730,Gare Saint-Roch - République
3,1193,Place Carnot
3,1194,Voltaire
3,1195,Rives du Lez - Consuls de Mer
3,1094,Moularès (Hôtel de Ville)
3,1095,Port Marianne
3,1100,Port Marianne
3,1101,Moularès (Hôtel de Ville)
3,1232,Rives du Lez - Consuls de Mer
3,1233,Voltaire
3,1234,Place Carnot
3,1706,Gare Saint-Roch - République
3,1731,Observatoire
3,1732,Saint-Denis
3,1733,Plan Cabanes
3,1734,Les Arceaux
3,1735,Astruc
3,1736,Jules Guesde
3,1737,Tonnelles
3,1738,Pergola
3,1739,Hôtel du Département
3,1740,Pilory
3,1741,Celleneuve
3,1742,Mosson
3,1693,Juvignac
4,1705,Observatoire
4,1730,Gare Saint-Roch - République
4,1236,Rondelet
4,1237,Nouveau Saint-Roch
4,1707,Saint-Martin
4,1708,Restanque
4,1946,Garcia Lorca
4,1190,Nouveau Saint-Roch
4,1191,Rondelet
4,1706,Gare Saint-Roch - République
4,1731,Observatoire
4,1951,Saint-Guilhem - Courreau
4,1945,Peyrou - Arc de Triomphe
4,1948,Albert 1er - Cathédrale
4,1085,Louis Blanc - Agora de la Danse
4,1086,Corum
4,1229,Les Aubes
4,1230,Pompignane
4,1092,Place de l'Europe
4,1093,Rives du Lez
4,1725,Georges Frêche - Hôtel de Ville
4,1726,La Rauze
4,2027,Garcia Lorca
4,2024,Garcia Lorca
4,1710,La Rauze
4,1711,Georges Frêche - Hôtel de Ville
4,1102,Rives du Lez
4,1103,Place de l'Europe
4,1196,Pompignane
4,1197,Les Aubes
4,1109,Corum
4,1110,Louis Blanc - Agora de la Danse
4,1949,Albert 1er - Cathédrale
4,1950,Peyrou - Arc de Triomphe
4,1952,Saint-Guilhem - Courreau
4,1947,Garcia Lorca
4,1728,Restanque
4,1729,Saint-Martin
